Начальный размер кеша: 100
 Writer-0 записал: key-20 = 20000
 Writer-1 записал: key-20 = 20000
 Writer-0 записал: key-21 = 21000
 Writer-1 записал: key-21 = 21000
 Writer-0 записал: key-22 = 22000
 Writer-1 записал: key-22 = 22000
 Writer-0 записал: key-23 = 23000
 Writer-1 записал: key-23 = 23000
 Writer-0 записал: key-24 = 24000
 Writer-1 записал: key-24 = 24000
 Writer-0 записал: key-25 = 25000
 Writer-1 записал: key-25 = 25000
 Writer-1 записал: key-26 = 26000
 Writer-0 записал: key-26 = 26000
 Writer-1 записал: key-27 = 27000
 Writer-0 записал: key-27 = 27000
 Writer-0 записал: key-28 = 28000
 Writer-1 записал: key-28 = 28000
 Writer-1 записал: key-29 = 29000
 Writer-0 записал: key-29 = 29000
 Writer-1 записал: key-30 = 30000
 Writer-0 записал: key-30 = 30000
 Writer-0 записал: key-31 = 31000
 Writer-1 записал: key-31 = 31000
 Writer-1 записал: key-32 = 32000
 Writer-0 записал: key-32 = 32000
 Writer-1 записал: key-33 = 33000
 Writer-0 записал: key-33 = 33000
 Writer-1 записал: key-34 = 34000
 Writer-0 записал: key-34 = 34000
 Writer-1 записал: key-35 = 35000
 Writer-0 записал: key-35 = 35000
 Writer-1 записал: key-36 = 36000
 Writer-0 записал: key-36 = 36000
 Writer-1 записал: key-37 = 37000
 Writer-0 записал: key-37 = 37000
 Writer-1 записал: key-38 = 38000
 Writer-0 записал: key-38 = 38000
 Writer-1 записал: key-39 = 39000
 Writer-0 записал: key-39 = 39000
 Writer-1 записал: key-40 = 40000
 Writer-0 записал: key-40 = 40000
 Writer-1 записал: key-41 = 41000
 Writer-0 записал: key-41 = 41000
 Writer-1 записал: key-42 = 42000
 Writer-0 записал: key-42 = 42000
 Writer-1 записал: key-43 = 43000
 Writer-0 записал: key-43 = 43000
 Writer-1 записал: key-44 = 44000
 Writer-0 записал: key-44 = 44000
 Writer-1 записал: key-45 = 45000
 Writer-0 записал: key-45 = 45000
 Writer-1 записал: key-46 = 46000
 Writer-0 записал: key-46 = 46000
 Writer-1 записал: key-47 = 47000
 Writer-0 записал: key-47 = 47000
 Writer-1 записал: key-48 = 48000
 Writer-0 записал: key-48 = 48000
 Writer-1 записал: key-49 = 49000
 Writer-0 записал: key-49 = 49000

Конечный размер кеша: 100
Время выполнения: 1099 мс

Тест computeIfAbsent:
 Вычисляем значение для new-key
Результат: 9999
Закешированное значение: 9999
